iter	Passed	Remaining
0	1	1447
1	2	1292
2	3	1258
3	4	1220
4	6	1210
5	7	1184
6	8	1142
7	9	1122
8	10	1135
9	11	1169
10	12	1163
11	13	1141
12	14	1129
13	15	1120
14	17	1120
15	18	1116
16	19	1112
17	20	1104
18	21	1115
19	22	1125
20	24	1148
21	26	1163
22	27	1164
23	29	1183
24	30	1192
25	32	1205
26	33	1208
27	34	1203
28	35	1191
29	36	1184
30	37	1179
31	38	1176
32	39	1171
33	40	1163
34	41	1157
35	43	1153
36	44	1153
37	45	1147
38	46	1146
39	47	1140
40	48	1138
41	49	1134
42	50	1131
43	51	1128
44	52	1123
45	53	1119
46	55	1118
47	56	1116
48	57	1112
49	58	1108
50	59	1106
51	60	1105
52	61	1101
53	62	1098
54	63	1096
55	64	1093
56	65	1091
57	66	1087
58	68	1085
59	69	1082
60	70	1079
61	71	1079
62	72	1077
63	73	1076
64	74	1071
65	75	1067
66	76	1065
67	77	1063
68	78	1061
69	79	1058
70	80	1056
71	81	1054
72	82	1050
73	83	1047
74	84	1044
75	85	1042
76	86	1040
77	87	1038
78	88	1037
79	90	1035
80	90	1031
81	92	1035
82	93	1034
83	94	1032
84	95	1032
85	97	1031
86	98	1029
87	99	1027
88	100	1026
89	101	1024
90	102	1024
91	103	1021
92	104	1019
93	105	1019
94	106	1018
95	108	1017
96	109	1015
97	110	1015
98	111	1014
99	112	1013
100	113	1010
101	114	1007
102	115	1007
103	116	1004
104	117	1002
105	118	998
106	119	995
107	120	992
108	120	988
109	121	984
110	122	981
111	123	977
112	124	973
113	124	971
114	125	969
115	126	966
116	127	962
117	128	958
118	129	955
119	129	952
120	130	948
121	131	945
122	132	941
123	132	938
124	133	935
125	134	933
126	135	929
127	135	926
128	136	923
129	137	920
130	138	917
131	139	914
132	139	912
133	140	909
134	141	906
135	142	903
136	143	900
137	143	898
138	144	896
139	145	894
140	146	892
141	147	889
142	148	887
143	148	884
144	149	881
145	150	879
146	151	876
147	151	874
148	152	871
149	153	869
150	154	867
151	155	864
152	155	862
153	156	859
154	157	857
155	158	855
156	159	853
157	159	852
158	160	849
159	161	848
160	162	846
161	163	845
162	164	842
163	164	840
164	165	837
165	166	835
166	166	832
167	167	830
168	168	828
169	169	825
170	169	823
171	170	820
172	171	818
173	172	816
174	172	814
175	173	812
176	174	810
177	175	808
178	175	806
179	176	804
180	177	802
181	178	800
182	178	797
183	179	795
184	180	793
185	180	791
186	181	789
187	182	787
188	182	785
189	183	783
190	184	781
191	185	779
192	185	777
193	186	775
194	187	773
195	187	771
196	188	769
197	189	767
198	190	765
199	191	765
200	192	764
201	193	763
202	194	762
203	194	760
204	195	759
205	196	757
206	197	756
207	198	755
208	199	754
209	200	752
210	200	751
211	201	750
212	202	749
213	203	748
214	204	748
215	206	749
216	207	748
217	208	747
218	209	747
219	210	746
220	211	745
221	212	744
222	213	744
223	214	743
224	215	742
225	216	741
226	217	741
227	218	740
228	219	739
229	220	739
230	222	739
231	223	738
232	224	737
233	225	736
234	225	735
235	226	733
236	227	732
237	228	730
238	228	729
239	229	727
240	230	725
241	231	723
242	231	722
243	232	720
244	233	719
245	234	717
246	235	716
247	236	716
248	237	715
249	237	713
250	238	712
251	239	710
252	240	709
253	240	707
254	241	706
255	242	704
256	243	703
257	243	701
258	244	699
259	245	698
260	245	696
261	246	694
262	247	693
263	248	692
264	249	690
265	249	689
266	250	689
267	251	687
268	252	686
269	253	684
270	253	683
271	254	681
272	255	680
273	256	678
274	256	677
275	257	675
276	258	674
277	259	672
278	259	671
279	260	669
280	261	668
281	261	666
282	262	665
283	263	663
284	264	662
285	264	661
286	265	659
287	266	658
288	267	656
289	267	655
290	268	654
291	269	652
292	269	651
293	270	649
294	271	648
295	272	647
296	273	646
297	273	644
298	274	643
299	275	642
300	275	640
301	276	639
302	277	638
303	278	636
304	278	635
305	279	633
306	280	632
307	280	631
308	281	629
309	282	628
310	283	627
311	283	625
312	284	624
313	285	623
314	285	621
315	286	620
316	287	619
317	288	617
318	288	616
319	289	615
320	290	614
321	290	612
322	291	611
323	292	610
324	293	609
325	293	607
326	294	606
327	295	605
328	296	604
329	296	602
330	297	601
331	298	600
332	299	599
333	299	597
334	300	596
335	301	595
336	302	594
337	302	593
338	303	591
339	304	590
340	305	589
341	305	588
342	306	587
343	307	585
344	307	584
345	308	583
346	309	582
347	310	581
348	310	579
349	311	578
350	312	577
351	313	576
352	313	575
353	314	574
354	315	573
355	316	571
356	316	570
357	317	569
358	318	568
359	319	567
360	319	565
361	320	564
362	321	563
363	321	562
364	322	561
365	323	560
366	324	559
367	324	558
368	325	556
369	326	555
370	326	554
371	327	553
372	328	552
373	329	550
374	329	549
375	330	548
376	331	547
377	332	546
378	332	545
379	333	544
380	334	543
381	335	542
382	335	541
383	336	539
384	337	538
385	338	537
386	338	536
387	339	535
388	340	534
389	340	533
390	341	532
391	342	531
392	343	529
393	343	528
394	344	527
395	345	526
396	346	525
397	346	524
398	347	523
399	348	522
400	348	521
401	349	520
402	350	518
403	351	517
404	351	516
405	352	515
406	353	514
407	354	513
408	354	512
409	355	512
410	356	511
411	357	509
412	358	508
413	358	507
414	359	506
415	360	505
416	361	504
417	362	504
418	363	503
419	363	502
420	364	501
421	365	500
422	365	499
423	366	498
424	367	497
425	367	495
426	369	495
427	369	494
428	370	493
429	371	492
430	372	491
431	372	490
432	373	489
433	374	488
434	375	487
435	375	486
436	376	485
437	377	484
438	378	483
439	378	482
440	379	481
441	380	480
442	380	479
443	381	477
444	382	476
445	383	475
446	383	474
447	384	473
448	385	472
449	386	471
450	386	470
451	387	469
452	388	468
453	389	467
454	389	466
455	390	465
456	391	464
457	392	463
458	392	462
459	393	462
460	394	461
461	395	460
462	395	459
463	396	458
464	397	457
465	398	456
466	398	455
467	399	454
468	400	453
469	400	452
470	402	451
471	403	451
472	404	450
473	405	449
474	405	448
475	406	447
476	407	447
477	408	446
478	409	445
479	410	444
480	411	443
481	412	443
482	413	442
483	414	441
484	415	441
485	416	440
486	417	439
487	418	438
488	419	438
489	420	437
490	421	436
491	422	435
492	422	434
493	423	434
494	424	433
495	425	432
496	425	431
497	426	430
498	427	429
499	428	428
500	429	427
501	429	426
502	430	425
503	430	424
504	431	423
505	432	422
506	433	421
507	433	420
508	434	419
509	435	418
510	436	417
511	437	416
512	438	416
513	439	415
514	439	414
515	440	413
516	441	412
517	442	411
518	443	410
519	443	409
520	444	408
521	445	407
522	445	406
523	446	405
524	447	404
525	448	404
526	449	403
527	449	402
528	450	401
529	451	400
530	451	399
531	452	398
532	453	397
533	454	396
534	455	395
535	456	395
536	457	394
537	457	393
538	458	392
539	459	391
540	460	390
541	460	389
542	461	388
543	462	387
544	463	386
545	463	385
546	464	384
547	465	383
548	466	382
549	466	381
550	467	381
551	468	380
552	469	379
553	471	379
554	472	378
555	473	377
556	473	376
557	474	375
558	475	375
559	476	374
560	477	373
561	477	372
562	478	371
563	479	370
564	480	369
565	481	368
566	481	367
567	482	366
568	483	366
569	484	365
570	485	364
571	485	363
572	486	362
573	487	361
574	488	360
575	488	359
576	489	358
577	490	358
578	491	357
579	492	356
580	492	355
581	493	354
582	494	353
583	494	352
584	495	351
585	496	350
586	497	349
587	497	348
588	498	348
589	499	347
590	500	346
591	501	345
592	501	344
593	502	343
594	503	342
595	504	341
596	505	340
597	505	340
598	506	339
599	507	338
600	508	337
601	509	336
602	509	335
603	510	334
604	511	333
605	512	333
606	513	332
607	513	331
608	514	330
609	515	329
610	516	329
611	518	328
612	518	327
613	519	326
614	520	325
615	521	324
616	521	323
617	522	323
618	523	322
619	524	321
620	524	320
621	525	319
622	526	318
623	527	317
624	527	316
625	528	315
626	529	315
627	531	314
628	532	313
629	532	312
630	533	311
631	534	311
632	534	310
633	535	309
634	536	308
635	537	307
636	537	306
637	538	305
638	539	304
639	540	303
640	540	302
641	541	302
642	542	301
643	543	300
644	543	299
645	544	298
646	545	297
647	546	297
648	547	296
649	548	295
650	548	294
651	549	293
652	550	292
653	551	291
654	552	290
655	553	289
656	553	289
657	554	288
658	555	287
659	555	286
660	556	285
661	557	284
662	558	283
663	559	282
664	559	282
665	560	281
666	561	280
667	562	279
668	563	278
669	564	277
670	564	277
671	565	276
672	566	275
673	567	274
674	568	273
675	568	272
676	569	271
677	570	270
678	571	269
679	571	269
680	572	268
681	573	267
682	574	266
683	574	265
684	575	264
685	576	264
686	577	263
687	578	262
688	579	261
689	579	260
690	580	259
691	581	258
692	582	257
693	583	257
694	584	256
695	584	255
696	585	254
697	586	253
698	586	252
699	587	251
700	588	250
701	589	250
702	590	249
703	591	248
704	592	248
705	593	247
706	594	246
707	595	245
708	595	244
709	596	243
710	597	242
711	598	242
712	599	241
713	600	240
714	601	239
715	602	238
716	603	238
717	604	237
718	605	236
719	605	235
720	606	234
721	607	234
722	608	233
723	609	232
724	610	231
725	611	230
726	612	230
727	613	229
728	614	228
729	615	227
730	615	226
731	616	225
732	617	224
733	618	224
734	619	223
735	619	222
736	620	221
737	621	220
738	622	219
739	623	219
740	624	218
741	625	217
742	626	216
743	627	215
744	628	215
745	629	214
746	630	213
747	630	212
748	631	211
749	632	210
750	632	209
751	634	209
752	634	208
753	635	207
754	636	206
755	636	205
756	637	204
757	638	203
758	639	203
759	640	202
760	641	201
761	642	200
762	642	199
763	643	198
764	644	197
765	645	197
766	645	196
767	646	195
768	647	194
769	648	193
770	649	192
771	649	191
772	650	191
773	651	190
774	651	189
775	652	188
776	653	187
777	654	186
778	655	185
779	656	185
780	657	184
781	658	183
782	659	182
783	660	181
784	660	181
785	661	180
786	662	179
787	663	178
788	663	177
789	664	176
790	665	175
791	666	174
792	667	174
793	667	173
794	668	172
795	669	171
796	670	170
797	671	170
798	672	169
799	673	168
800	674	167
801	675	166
802	676	165
803	676	164
804	677	164
805	678	163
806	678	162
807	679	161
808	680	160
809	681	159
810	682	158
811	682	158
812	683	157
813	684	156
814	685	155
815	686	154
816	687	154
817	688	153
818	689	152
819	690	151
820	690	150
821	691	149
822	692	148
823	693	148
824	694	147
825	694	146
826	695	145
827	696	144
828	697	143
829	697	142
830	698	142
831	699	141
832	701	140
833	701	139
834	702	138
835	703	137
836	704	137
837	704	136
838	705	135
839	706	134
840	707	133
841	707	132
842	708	131
843	709	131
844	710	130
845	710	129
846	711	128
847	712	127
848	713	126
849	713	125
850	714	125
851	715	124
852	716	123
853	717	122
854	718	121
855	718	120
856	719	120
857	720	119
858	721	118
859	721	117
860	722	116
861	723	115
862	724	114
863	724	114
864	725	113
865	726	112
866	726	111
867	727	110
868	728	109
869	729	108
870	729	108
871	730	107
872	731	106
873	732	105
874	733	104
875	734	104
876	735	103
877	736	102
878	737	101
879	738	100
880	739	99
881	739	98
882	740	98
883	741	97
884	741	96
885	742	95
886	743	94
887	744	93
888	744	92
889	745	92
890	746	91
891	747	90
892	748	89
893	749	88
894	749	87
895	750	87
896	751	86
897	752	85
898	752	84
899	753	83
900	754	82
901	755	82
902	755	81
903	756	80
904	757	79
905	757	78
906	758	77
907	759	76
908	760	76
909	760	75
910	761	74
911	762	73
912	763	72
913	763	71
914	764	71
915	765	70
916	765	69
917	766	68
918	767	67
919	768	66
920	768	65
921	769	65
922	770	64
923	771	63
924	771	62
925	772	61
926	773	60
927	774	60
928	774	59
929	775	58
930	776	57
931	777	56
932	778	55
933	779	55
934	780	54
935	781	53
936	782	52
937	782	51
938	783	50
939	784	50
940	785	49
941	786	48
942	787	47
943	788	46
944	789	45
945	790	45
946	791	44
947	792	43
948	793	42
949	794	41
950	794	40
951	795	40
952	796	39
953	796	38
954	797	37
955	798	36
956	799	35
957	799	35
958	800	34
959	801	33
960	802	32
961	802	31
962	803	30
963	804	30
964	805	29
965	805	28
966	806	27
967	807	26
968	808	25
969	808	25
970	809	24
971	810	23
972	811	22
973	811	21
974	812	20
975	813	19
976	814	19
977	814	18
978	815	17
979	816	16
980	817	15
981	817	14
982	818	14
983	819	13
984	819	12
985	820	11
986	821	10
987	822	9
988	822	9
989	823	8
990	824	7
991	825	6
992	825	5
993	826	4
994	827	4
995	828	3
996	828	2
997	829	1
998	830	0
999	831	0
